,Nama Kecamatan,Kepadatan Penduduk
0,Andir,3.3746682464454976
1,Antapani,3.485687203791469
2,Arcamanik,1.5863636363636364
3,Astana Anyar,3.1965671641791045
4,Babakan Ciparay,0.9735502121640736
5,Bandung Kidul,1.503081180811808
6,Bandung Kulon,1.024273381294964
7,Bandung Wetan,1.7138662790697674
8,Batununggal,1.973195020746888
9,Bojongloa Kaler,2.464583333333333
10,Bojongloa Kidul,0.7131153846153846
11,Buahbatu,0.9653619302949061
12,Cibeunying Kaler,0.8674137931034482
13,Cibeunying Kidul,1.857536231884058
14,Cibiru,0.36887426900584797
15,Cicendo,0.8897689345314506
16,Cidadap,0.8843349168646081
17,Cinambo,1.4959529411764705
18,Coblong,1.8053625170998633
19,Gedebage,1.2141265060240964
20,Kiaracondong,0.6306724137931035
21,Lengkong,1.650642978003384
22,Mandalajati,2.0781666666666667
23,Panyileukan,0.5861393596986817
24,Rancasari,1.537888730385164
25,Regol,1.4962869198312236
26,Sukajadi,2.491098484848485
27,Sukasari,1.7040094339622642
28,Sumur Bandung,2.3469340974212036
29,Ujungberung,0.9402564102564103
